KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Editaèní vazba","CISMC",44,"555436","Milostovice","CISOB",43,"505927","Opava"
"CS","Editaèní vazba","CISMC",44,"555461","Vlaštovièky","CISOB",43,"505927","Opava"
"CS","Editaèní vazba","CISMC",44,"556700","Vávrovice","CISOB",43,"505927","Opava"
"CS","Editaèní vazba","CISMC",44,"556891","Liberec-Vratislavice nad Nisou","CISOB",43,"563889","Liberec"
"CS","Editaèní vazba","CISMC",44,"556904","Liberec (neèlenìné mìsto)","CISOB",43,"563889","Liberec"
"CS","Editaèní vazba","CISMC",44,"557064","Pardubice III","CISOB",43,"555134","Pardubice"
"CS","Editaèní vazba","CISMC",44,"557072","Pardubice V","CISOB",43,"555134","Pardubice"
"CS","Editaèní vazba","CISMC",44,"557978","Plzeò 10-Lhota","CISOB",43,"554791","Plzeò"
"CS","Editaèní vazba","CISMC",44,"559199","Plzeò 9-Malesice","CISOB",43,"554791","Plzeò"
"CS","Editaèní vazba","CISMC",44,"567892","Ústí nad Labem-mìsto","CISOB",43,"554804","Ústí nad Labem"
"CS","Editaèní vazba","CISMC",44,"574716","Pardubice I","CISOB",43,"555134","Pardubice"
"CS","Editaèní vazba","CISMC",44,"575020","Pardubice VIII","CISOB",43,"555134","Pardubice"

